# Device/Package xc7v2000tfhg1761 8/18/2011 15:46:50                                                                                                   

!Pin  Pin_Name                      Memory_Byte_Group  Bank  VCCAUX_Group  Super_Logic_Region  I/O_Type  No-Connect
AC20  DXN_0                         NA                 0     NA            1                   CONFIG    NA
AC21  DXP_0                         NA                 0     NA            1                   CONFIG    NA
AA20  VREFN_0                       NA                 0     NA            1                   CONFIG    NA
AB21  VREFP_0                       NA                 0     NA            1                   CONFIG    NA
AA21  VP_0                          NA                 0     NA            1                   CONFIG    NA
AB20  VN_0                          NA                 0     NA            1                   CONFIG    NA
N11   VCCBATT_0                     NA                 0     NA            1                   CONFIG    NA
N10   CCLK_0                        NA                 0     NA            1                   CONFIG    NA
P10   TCK_0                         NA                 0     NA            1                   CONFIG    NA
P11   TMS_0                         NA                 0     NA            1                   CONFIG    NA
T10   TDI_0                         NA                 0     NA            1                   CONFIG    NA
AG11  INIT_B_0                      NA                 0     NA            1                   CONFIG    NA
AJ11  PROGRAM_B_0                   NA                 0     NA            1                   CONFIG    NA
AH10  CFGBVS_0                      NA                 0     NA            1                   CONFIG    NA
AL11  DONE_0                        NA                 0     NA            1                   CONFIG    NA
AJ10  M2_0                          NA                 0     NA            1                   CONFIG    NA
AL10  M0_0                          NA                 0     NA            1                   CONFIG    NA
AK10  M1_0                          NA                 0     NA            1                   CONFIG    NA
R10   TDO_0                         NA                 0     NA            3                   CONFIG    NA
AN29  IO_0_VRN_12                   NA                 12    0             0                   HP        7VX485T, 7VX330T
AY27  IO_L1P_T0_12                  0                  12    0             0                   HP        7VX485T, 7VX330T
AY28  IO_L1N_T0_12                  0                  12    0             0                   HP        7VX485T, 7VX330T
AU29  IO_L2P_T0_12                  0                  12    0             0                   HP        7VX485T, 7VX330T
AV29  IO_L2N_T0_12                  0                  12    0             0                   HP        7VX485T, 7VX330T
BA26  IO_L3P_T0_DQS_12              0                  12    0             0                   HP        7VX485T, 7VX330T
BA27  IO_L3N_T0_DQS_12              0                  12    0             0                   HP        7VX485T, 7VX330T
BB28  IO_L4P_T0_12                  0                  12    0             0                   HP        7VX485T, 7VX330T
BB29  IO_L4N_T0_12                  0                  12    0             0                   HP        7VX485T, 7VX330T
BB26  IO_L5P_T0_12                  0                  12    0             0                   HP        7VX485T, 7VX330T
BB27  IO_L5N_T0_12                  0                  12    0             0                   HP        7VX485T, 7VX330T
AY29  IO_L6P_T0_12                  0                  12    0             0                   HP        7VX485T, 7VX330T
BA29  IO_L6N_T0_VREF_12             0                  12    0             0                   HP        7VX485T, 7VX330T
AW25  IO_L7P_T1_12                  1                  12    0             0                   HP        7VX485T, 7VX330T
AW26  IO_L7N_T1_12                  1                  12    0             0                   HP        7VX485T, 7VX330T
AR29  IO_L8P_T1_12                  1                  12    0             0                   HP        7VX485T, 7VX330T
AT29  IO_L8N_T1_12                  1                  12    0             0                   HP        7VX485T, 7VX330T
AV25  IO_L9P_T1_DQS_12              1                  12    0             0                   HP        7VX485T, 7VX330T
AV26  IO_L9N_T1_DQS_12              1                  12    0             0                   HP        7VX485T, 7VX330T
AW27  IO_L10P_T1_12                 1                  12    0             0                   HP        7VX485T, 7VX330T
AW28  IO_L10N_T1_12                 1                  12    0             0                   HP        7VX485T, 7VX330T
AU28  IO_L11P_T1_SRCC_12            1                  12    0             0                   HP        7VX485T, 7VX330T
AV28  IO_L11N_T1_SRCC_12            1                  12    0             0                   HP        7VX485T, 7VX330T
AU26  IO_L12P_T1_MRCC_12            1                  12    0             0                   HP        7VX485T, 7VX330T
AU27  IO_L12N_T1_MRCC_12            1                  12    0             0                   HP        7VX485T, 7VX330T
AR27  IO_L13P_T2_MRCC_12            2                  12    0             0                   HP        7VX485T, 7VX330T
AT27  IO_L13N_T2_MRCC_12            2                  12    0             0                   HP        7VX485T, 7VX330T
AP27  IO_L14P_T2_SRCC_12            2                  12    0             0                   HP        7VX485T, 7VX330T
AR28  IO_L14N_T2_SRCC_12            2                  12    0             0                   HP        7VX485T, 7VX330T
AN28  IO_L15P_T2_DQS_12             2                  12    0             0                   HP        7VX485T, 7VX330T
AP28  IO_L15N_T2_DQS_12             2                  12    0             0                   HP        7VX485T, 7VX330T
AT25  IO_L16P_T2_12                 2                  12    0             0                   HP        7VX485T, 7VX330T
AT26  IO_L16N_T2_12                 2                  12    0             0                   HP        7VX485T, 7VX330T
AP25  IO_L17P_T2_12                 2                  12    0             0                   HP        7VX485T, 7VX330T
AR25  IO_L17N_T2_12                 2                  12    0             0                   HP        7VX485T, 7VX330T
AN25  IO_L18P_T2_12                 2                  12    0             0                   HP        7VX485T, 7VX330T
AN26  IO_L18N_T2_12                 2                  12    0             0                   HP        7VX485T, 7VX330T
AM28  IO_L19P_T3_12                 3                  12    0             0                   HP        7VX485T, 7VX330T
AM29  IO_L19N_T3_VREF_12            3                  12    0             0                   HP        7VX485T, 7VX330T
AK27  IO_L20P_T3_12                 3                  12    0             0                   HP        7VX485T, 7VX330T
AL27  IO_L20N_T3_12                 3                  12    0             0                   HP        7VX485T, 7VX330T
AM26  IO_L21P_T3_DQS_12             3                  12    0             0                   HP        7VX485T, 7VX330T
AM27  IO_L21N_T3_DQS_12             3                  12    0             0                   HP        7VX485T, 7VX330T
AK24  IO_L22P_T3_12                 3                  12    0             0                   HP        7VX485T, 7VX330T
AK25  IO_L22N_T3_12                 3                  12    0             0                   HP        7VX485T, 7VX330T
AL25  IO_L23P_T3_12                 3                  12    0             0                   HP        7VX485T, 7VX330T
AL26  IO_L23N_T3_12                 3                  12    0             0                   HP        7VX485T, 7VX330T
AJ25  IO_L24P_T3_12                 3                  12    0             0                   HP        7VX485T, 7VX330T
AJ26  IO_L24N_T3_12                 3                  12    0             0                   HP        7VX485T, 7VX330T
AP26  IO_25_VRP_12                  NA                 12    0             0                   HP        7VX485T, 7VX330T
AR35  IO_0_VRN_13                   NA                 13    0             0                   HP        NA
AY34  IO_L1P_T0_13                  0                  13    0             0                   HP        NA
BA35  IO_L1N_T0_13                  0                  13    0             0                   HP        NA
